name,email,subject,date,year,month,day,hour,minute,domain,party,disclaimer,committee,cogito_14b,gpt-4o_november,granite31_dense,olmo2_13b,phi4_november,mistral_small,qwq_november,internlm3_8b,qwen3_14b,qwen25_november,qwen3_32b,granite3.2_november,cogito_70b,llama_4,internlm2_november,phi3_november,openthinker_32b,olmo2_7b,llama33_november,cogito_32b,granite3.3_november,gemma3_27b,deepseek_r1,gemini_25,qwen3_8b,command_a,gpt_5,gemini20_flash,claude35_haiku,mixtral_november,command_r7b,gpt_41,mistral_nemo,exaone35_32b,hermes3_70b,gemma3_12b,gptoss20b_november,claude_sonnet,exaone_deep,tulu3_8b,gemma2_november,claude35_sonnet,phi4_reasoning,gemini25_flash,qwen25_72b,phi4_mini,claude37_sonnet,o3-mini_november,gemma2_27b,claude_haiku,model_count,exact_matches
Team ODP,info@ohiodems.org,The numbers we’re paying attention to,11/2/24 17:47,2024,11,2,17,47,ohiodems.org,D,True,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,THEOHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,,THEOHIO DEMOCRATIC PARTY,THE OHIO DEMOCRATIC PARTY,THE OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,THEOHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,OHIO DEMOCRATIC PARTY,47,42
Jeff Merkley,campaign@jeffmerkley.com,Get out and vote,11/2/24 17:50,2024,11,2,17,50,jeffmerkley.com,D,True,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,JEFF MERKLEY FOR OREGON,48,48
gotv@sherrodbrown.com,info@sherrodbrown.com,You’re assigned: Lorain County,11/2/24 17:54,2024,11,2,17,54,sherrodbrown.com,D,True,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,,FRIENDS OF SHERROD BROWN,"FRIENDS OF SHERROD BROWN 605 N. HIGH STREET, STE. 226 COLUMBUS, OH 43215",FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,FRIENDS OF SHERROD BROWN,48,47
Bynum HQ,info@janellebynum.com,Toss of a coin,11/2/24 17:57,2024,11,2,17,57,janellebynum.com,D,True,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,"JANELLE BYNUM FOR CONGRESS 10121 SE SUNNYSIDE ROAD #300 CLACKAMAS, OR 97015 UNITED STATES",JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,JANELLE BYNUM FOR CONGRESS,48,47
Schrier HQ,info@drkimschrier.com,With Election Day just around the corner…,11/2/24 17:57,2024,11,2,17,57,drkimschrier.com,D,True,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,DR. KIM SCHRIER FOR CONGRESS,49,49
Rand Paul,newsletter@newsletter.conservativedirect.com,the leap has never been so important,11/2/24 18:00,2024,11,2,18,0,newsletter.conservativedirect.com,R,True,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,"RAND PAUL FOR SENATE, P.O. BOX 26352 ALEXANDRIA, VIRGINIA 22313",RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,RAND PAUL FOR SENATE,49,48
Team Foushee,info@valeriefoushee.com,"3 days, 3 reasons, $3",11/2/24 18:01,2024,11,2,18,1,valeriefoushee.com,D,True,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS VALERIE FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,FOUSHEE FOR CONGRESS,47,46
Team Stelson HQ,team@janellestelson.com,We know we’ve asked time and time again,11/2/24 18:01,2024,11,2,18,1,janellestelson.com,D,True,FRIENDS OF JANELLE STELSON,,FRIENDS OF JANELLE STELSON,,,,FRIENDS OF JANELLE STELSON,,,,FRIENDS OF JANELLE STELSON,,,,FRIENDS OF JANELLE STELSON,,,,,,,,,,FRIENDS OF JANELLE STELSON,,,FRIENDS OF JANELLE STELSON,FRIENDS OF JANELLE STELSON,FRIENDS OF JANELLE STELSON,,,FRIENDS OF JANELLE STELSON,,,,,FRIENDS OF JANELLE STELSON,FRIENDS OF JANELLE STELSON,,,,FRIENDS OF JANELLE STELSON,,FRIENDS OF JANELLE STELSON,,,FRIENDS OF JANELLE STELSON,FRIENDS OF JANELLE STELSON,,FRIENDS OF JANELLE STELSON,16,16
Adrian Fontes,info@democraticsecretaries.org,re: Tuesday,11/2/24 18:01,2024,11,2,18,1,democraticsecretaries.org,D,True,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,"DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE, TREASURER DENISE MERRILL",DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,"DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE, TREASURER DENISEMERRILL DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE 600 PENNSYLVANIA AVE SE#15180 WASHINGTON, DC 20003 UNITED STATES",DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,DEMOCRATIC ASSOCIATION OF SECRETARIES OF STATE,47,45
"Charlie Kirk, Turning Point Action",info@makingamericathegreatest.com,Have 2X the impact for 7 DAYS to SAVE AMERICA,11/2/24 18:02,2024,11,2,18,2,makingamericathegreatest.com,R,True,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION (TPACTION.COM),TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION (TPACTION.COM),TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION (TPACTON.COM),TURNING POINT ACTION,TURNING POINT ACTION (TPACTION.COM) AND NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,TURNING POINT ACTION,49,45
Obi,teamjared@jaredforflorida.com,Jared’s not giving me attention 😤,11/2/24 18:03,2024,11,2,18,3,jaredforflorida.com,D,True,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,PAID FOR BY JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,"JARED MOSKOWITZ FOR CONGRESS, P.O. BOX 8784, CORAL SPRINGS, FL 33065",JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,PAID FOR BY JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,JARED MOSKOWITZ FOR CONGRESS,47,44
Bob Casey HQ,info@email.bobcasey.com,David McCormick wants to gut the ACA,11/2/24 18:05,2024,11,2,18,5,email.bobcasey.com,D,True,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,,BOB CASEY FOR SENATE INC.,,BOB CASEY FOR SENATE,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE,,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,BOB CASEY FOR SENATE INC.,47,40
Adam Schiff,reply@e.adamschiff.com,$3 ,11/2/24 18:05,2024,11,2,18,5,e.adamschiff.com,D,True,SCHIFF FOR SENATE,,,,,,,,,,,,,,,,,,,,,,,,,,,SCHIFF FOR SENATE,,,,,,,,,,SCHIFF FOR SENATE,SCHIFF FOR SENATE,,,,,,,,,,,,SCHIFF FOR SENATE,4,4
"Gavin M. Wax, NYYRC President",hello@m.conservativeum.com,Do NOT believe the Kamala bump (here’s why >>),11/2/24 18:05,2024,11,2,18,5,m.conservativeum.com,,True,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNGL REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,NEW YORK YOUNG REPUBLICAN CLUB,48,47
